word,category,cids
trepidation,Afraid,3.4.2.4
afraid,Afraid,3.4.2.4
fearful,Afraid,3.4.2.4
frightened,Afraid,3.4.2.4
alarmed,Afraid,3.4.2.4
panicky,Afraid,3.4.2.4
quaking,Afraid,3.4.2.4
scared,Afraid,3.4.2.4
skittish,Afraid,3.4.2.4
weak-kneed,Afraid,3.4.2.4
terrified,Afraid,3.4.2.4
terror,Afraid,3.4.2.4
panic,Afraid,3.4.2.4
panic-stricken,Afraid,3.4.2.4
petrified,Afraid,3.4.2.4
scared stiff,Afraid,3.4.2.4
scared out of your wits,Afraid,3.4.2.4
scared to death,Afraid,3.4.2.4
get a fright,Afraid,3.4.2.4
panic (v),Afraid,3.4.2.4
go white as a sheet,Afraid,3.4.2.4
nearly jump out of your skin,Afraid,3.4.2.4
phobia,Afraid,3.4.2.4
have a phobia about,Afraid,3.4.2.4
live in fear,Afraid,3.4.2.4
dread (n),Afraid,3.4.2.4
dread (v),Afraid,3.4.2.4
frighten,Afraid,3.4.2.4
give someone a fright,Afraid,3.4.2.4
frighten the life out of someone,Afraid,3.4.2.4
alarm (v),Afraid,3.4.2.4
cow (v),Afraid,3.4.2.4
give someone the creeps,Afraid,3.4.2.4
daunt,Afraid,3.4.2.4
intimidate,Afraid,3.4.2.4
petrify,Afraid,3.4.2.4
rattle (v),Afraid,3.4.2.4
scare,Afraid,3.4.2.4
spook,Afraid,3.4.2.4
startle,Afraid,3.4.2.4
terrify,Afraid,3.4.2.4
terrorize,Afraid,3.4.2.4
unnerve,Afraid,3.4.2.4
make your hair stand on end,Afraid,3.4.2.4
make your blood run cold,Afraid,3.4.2.4
scare (n),Afraid,3.4.2.4
terror,Afraid,3.4.2.4
horror,Afraid,3.4.2.4
alarmist,Afraid,3.4.2.4
frightening,Afraid,3.4.2.4
frightful,Afraid,3.4.2.4
alarming,Afraid,3.4.2.4
blood-curdling,Afraid,3.4.2.4
chilling,Afraid,3.4.2.4
creepy,Afraid,3.4.2.4
dreadful,Afraid,3.4.2.4
eerie,Afraid,3.4.2.4
fearsome,Afraid,3.4.2.4
forbidding,Afraid,3.4.2.4
hair-raising,Afraid,3.4.2.4
scary,Afraid,3.4.2.4
spine-chilling,Afraid,3.4.2.4
spooky,Afraid,3.4.2.4
terrifying,Afraid,3.4.2.4
scare easily,Afraid,3.4.2.4
timid,Afraid,3.4.2.4
be of a nervous disposition,Afraid,3.4.2.4
brave,Afraid,3.4.2.4
bravely,Afraid,3.4.2.4
bravery,Afraid,3.4.2.4
courage,Afraid,3.4.2.4
courageous,Afraid,3.4.2.4
courageously,Afraid,3.4.2.4
fearless,Afraid,3.4.2.4
fearlessly,Afraid,3.4.2.4
unafraid,Afraid,3.4.2.4
tremble,Afraid,3.4.2.4
quail,Afraid,3.4.2.4
quake,Afraid,3.4.2.4
shake,Afraid,3.4.2.4
shiver,Afraid,3.4.2.4
shudder,Afraid,3.4.2.4
heart pounds,Afraid,3.4.2.4
teeth chatter,Afraid,3.4.2.4
be paralyzed with fear,Afraid,3.4.2.4
freeze,Afraid,3.4.2.4
cower,Afraid,3.4.2.4
crouch,Afraid,3.4.2.4
cringe,Afraid,3.4.2.4
jump,Afraid,3.4.2.4
flinch,Afraid,3.4.2.4
wince,Afraid,3.4.2.4
shrink,Afraid,3.4.2.4
slink,Afraid,3.4.2.4
stampede,Afraid,3.4.2.4
turn tail,Afraid,3.4.2.4
turn white,Afraid,3.4.2.4
blanch,Afraid,3.4.2.4
cry out,Afraid,3.4.2.4
goose-flesh,Afraid,3.4.2.4
goose-pimples,Afraid,3.4.2.4
goose-bumps,Afraid,3.4.2.4
be confused,Confused,3.4.2.5
be in a muddle,Confused,3.4.2.5
confusion,Confused,3.4.2.5
bewilderment,Confused,3.4.2.5
mystification,Confused,3.4.2.5
perplexity,Confused,3.4.2.5
confused,Confused,3.4.2.5
baffled,Confused,3.4.2.5
befuddled,Confused,3.4.2.5
bemused,Confused,3.4.2.5
mystified,Confused,3.4.2.5
perplexed,Confused,3.4.2.5
puzzled,Confused,3.4.2.5
stupefied,Confused,3.4.2.5
unsure,Confused,3.4.2.5
bewildered,Confused,3.4.2.5
mixed-up,Confused,3.4.2.5
confuse,Confused,3.4.2.5
baffle,Confused,3.4.2.5
befuddle,Confused,3.4.2.5
bewilder,Confused,3.4.2.5
distract,Confused,3.4.2.5
flummox,Confused,3.4.2.5
fluster,Confused,3.4.2.5
mystify,Confused,3.4.2.5
nonplus,Confused,3.4.2.5
perplex,Confused,3.4.2.5
puzzle (v),Confused,3.4.2.5
stupefy,Confused,3.4.2.5
throw,Confused,3.4.2.5
distraction,Confused,3.4.2.5
puzzle (n),Confused,3.4.2.5
mystery,Confused,3.4.2.5
confusing,Confused,3.4.2.5
puzzling,Confused,3.4.2.5
bewildering,Confused,3.4.2.5
baffling,Confused,3.4.2.5
confuse,Confused,3.4.2.5
mix someone up with,Confused,3.4.2.5
mix people up,Confused,3.4.2.5
get something mixed up with,Confused,3.4.2.5
get things mixed up,Confused,3.4.2.5
feel bad,Feel bad,3.4.2
bad feelings,Feel bad,3.4.2
negative emotions,Feel bad,3.4.2
down,Feel bad,3.4.2
bad attitude,Feel bad,3.4.2
be in a bad mood,Feel bad,3.4.2
get someone down,Feel bad,3.4.2
downer,Feel bad,3.4.2
shout,Shout,3.5.1.1.1
speak loudly,Shout,3.5.1.1.1
yell,Shout,3.5.1.1.1
scream,Shout,3.5.1.1.1
talk in a loud voice,Shout,3.5.1.1.1
holler,Shout,3.5.1.1.1
call out,Shout,3.5.1.1.1
project your voice,Shout,3.5.1.1.1
aloud,Shout,3.5.1.1.1
exclaim,Shout,3.5.1.1.1
exclamation,Shout,3.5.1.1.1
vociferate,Shout,3.5.1.1.1
speak quietly,Speak quietly,3.5.1.1.2
talk softly,Speak quietly,3.5.1.1.2
whisper,Speak quietly,3.5.1.1.2
murmur,Speak quietly,3.5.1.1.2
mumble,Speak quietly,3.5.1.1.2
mouth the words,Speak quietly,3.5.1.1.2
tone it down,Speak quietly,3.5.1.1.2
speak a lot,Speak a lot,3.5.1.1.3
talkative,Speak a lot,3.5.1.1.3
loquacious,Speak a lot,3.5.1.1.3
verbose,Speak a lot,3.5.1.1.3
loquacious,Speak a lot,3.5.1.1.3
verbose,Speak a lot,3.5.1.1.3
wordy,Speak a lot,3.5.1.1.3
run on,Speak a lot,3.5.1.1.3
longwinded,Speak a lot,3.5.1.1.3
compendious,Speak a lot,3.5.1.1.3
interminable,Speak a lot,3.5.1.1.3
speak little,Speak little,3.5.1.1.4
taciturn,Speak little,3.5.1.1.4
shy,Speak little,3.5.1.1.4
man of few words,Speak little,3.5.1.1.4
uncommunicative,Speak little,3.5.1.1.4
reticent,Speak little,3.5.1.1.4
hold your tongue,Speak little,3.5.1.1.4
brevity,Speak little,3.5.1.1.4
brief,Speak little,3.5.1.1.4
concise,Speak little,3.5.1.1.4
curt,Speak little,3.5.1.1.4
pithy,Speak little,3.5.1.1.4
succinct,Speak little,3.5.1.1.4
synopsis,Speak little,3.5.1.1.4
synoptic,Speak little,3.5.1.1.4
terse,Speak little,3.5.1.1.4
keep silent,Say nothing,3.5.1.1.5
keep quiet,Say nothing,3.5.1.1.5
say nothing,Say nothing,3.5.1.1.5
zip your lip,Say nothing,3.5.1.1.5
shut up,Say nothing,3.5.1.1.5
refrain from talking,Say nothing,3.5.1.1.5
silent,Say nothing,3.5.1.1.5
quiet,Say nothing,3.5.1.1.5
close-mouthed,Say nothing,3.5.1.1.5
mum,Say nothing,3.5.1.1.5
mute,Say nothing,3.5.1.1.5
speechless,Say nothing,3.5.1.1.5
wordless,Say nothing,3.5.1.1.5
gag,Say nothing,3.5.1.1.5
hush,Say nothing,3.5.1.1.5
muffle,Say nothing,3.5.1.1.5
silence (v),Say nothing,3.5.1.1.5
silence,Say nothing,3.5.1.1.5
style,Speech style,3.5.1.1.6
register,Speech style,3.5.1.1.6
formal,Speech style,3.5.1.1.6
informal,Speech style,3.5.1.1.6
colloquial,Speech style,3.5.1.1.6
humorously,Speech style,3.5.1.1.6
seriously,Speech style,3.5.1.1.6
pronunciation,Speech style,3.5.1.1.6
speak well,Speak well,3.5.1.1.7
be eloquent,Speak well,3.5.1.1.7
be a good speaker,Speak well,3.5.1.1.7
be an excellent speaker,Speak well,3.5.1.1.7
be fluent,Speak well,3.5.1.1.7
speak clearly,Speak well,3.5.1.1.7
articulate,Speak well,3.5.1.1.7
slow of speech,Speak poorly,3.5.1.1.8
not fluent,Speak poorly,3.5.1.1.8
poor speaker,Speak poorly,3.5.1.1.8
stutter,Speak poorly,3.5.1.1.8
stammer,Speak poorly,3.5.1.1.8
have a speech impediment,Speak poorly,3.5.1.1.8
speak incoherently,Speak poorly,3.5.1.1.8
speak irrational,Speak poorly,3.5.1.1.8
say nonsense,Speak poorly,3.5.1.1.8
speak gibberish,Speak poorly,3.5.1.1.8
No one could understand him. I can't understand you. I can't understand a word you are saying.,Speak poorly,3.5.1.1.8
stumble,Speak poorly,3.5.1.1.8
misspeak,Speak poorly,3.5.1.1.8
gaff,Speak poorly,3.5.1.1.8
speak ungrammatically,Speak poorly,3.5.1.1.8
speak inappropriately,Speak poorly,3.5.1.1.8
be rude,Speak poorly,3.5.1.1.8
crude,Speak poorly,3.5.1.1.8
socially unacceptable,Speak poorly,3.5.1.1.8
filthy speech,Speak poorly,3.5.1.1.8
out of place,Speak poorly,3.5.1.1.8
not fit for mixed company,Speak poorly,3.5.1.1.8
shocking speech,Speak poorly,3.5.1.1.8
not know what to say,Speak poorly,3.5.1.1.8
be speechless,Speak poorly,3.5.1.1.8
tongue-tied,Speak poorly,3.5.1.1.8
cat's got your tongue,Speak poorly,3.5.1.1.8
speak for too long,Speak poorly,3.5.1.1.8
go over the time allotted,Speak poorly,3.5.1.1.8
be long winded,Speak poorly,3.5.1.1.8
speak forever,Speak poorly,3.5.1.1.8
hesitate,Speak poorly,3.5.1.1.8
pause,Speak poorly,3.5.1.1.8
false start,Speak poorly,3.5.1.1.8
trite,Speak poorly,3.5.1.1.8
over-used,Speak poorly,3.5.1.1.8
stale,Speak poorly,3.5.1.1.8
banal,Speak poorly,3.5.1.1.8
be wearing thin,Speak poorly,3.5.1.1.8
threadbare,Speak poorly,3.5.1.1.8
clichéd,Speak poorly,3.5.1.1.8
corny,Speak poorly,3.5.1.1.8
hackneyed,Speak poorly,3.5.1.1.8
shopworn,Speak poorly,3.5.1.1.8
stereotyped,Speak poorly,3.5.1.1.8
commonplace,Speak poorly,3.5.1.1.8
voice,Voice,3.5.1.1
soft,Voice,3.5.1.1
harsh,Voice,3.5.1.1
loud,Voice,3.5.1.1
quiet,Voice,3.5.1.1
high,Voice,3.5.1.1
high-pitched,Voice,3.5.1.1
piercing,Voice,3.5.1.1
shrill,Voice,3.5.1.1
squeaky,Voice,3.5.1.1
tinny,Voice,3.5.1.1
low,Voice,3.5.1.1
deep,Voice,3.5.1.1
bass,Voice,3.5.1.1
rich,Voice,3.5.1.1
resonant,Voice,3.5.1.1
rough,Voice,3.5.1.1
throaty,Voice,3.5.1.1
husky,Voice,3.5.1.1
gruff,Voice,3.5.1.1
hoarse,Voice,3.5.1.1
announce,Announce,3.5.1.2.1
declare,Announce,3.5.1.2.1
proclaim,Announce,3.5.1.2.1
publicize,Announce,3.5.1.2.1
publish,Announce,3.5.1.2.1
broadcast,Announce,3.5.1.2.1
make something public,Announce,3.5.1.2.1
make known,Announce,3.5.1.2.1
promote,Announce,3.5.1.2.1
advertise,Announce,3.5.1.2.1
inform,Announce,3.5.1.2.1
post,Announce,3.5.1.2.1
announcement,Announce,3.5.1.2.1
publicity,Announce,3.5.1.2.1
propaganda,Announce,3.5.1.2.1
well publicized,Announce,3.5.1.2.1
describe,Describe,3.5.1.2.2
give a description of,Describe,3.5.1.2.2
portray,Describe,3.5.1.2.2
depict,Describe,3.5.1.2.2
paint a picture,Describe,3.5.1.2.2
characterize,Describe,3.5.1.2.2
define,Describe,3.5.1.2.2
redefine,Describe,3.5.1.2.2
represent,Describe,3.5.1.2.2
treat,Describe,3.5.1.2.2
describe,Describe,3.5.1.2.2
talk about,Describe,3.5.1.2.2
write about,Describe,3.5.1.2.2
give an account of,Describe,3.5.1.2.2
tell of,Describe,3.5.1.2.2
description,Describe,3.5.1.2.2
descriptive,Describe,3.5.1.2.2
portrayal,Describe,3.5.1.2.2
profile,Describe,3.5.1.2.2
account,Describe,3.5.1.2.2
report,Describe,3.5.1.2.2
commentary,Describe,3.5.1.2.2
characterization,Describe,3.5.1.2.2
definition,Describe,3.5.1.2.2
redefinition,Describe,3.5.1.2.2
depiction,Describe,3.5.1.2.2
representation,Describe,3.5.1.2.2
explain,Explain,3.5.1.2.3
throw light on,Explain,3.5.1.2.3
shed light on,Explain,3.5.1.2.3
enlighten,Explain,3.5.1.2.3
elucidate,Explain,3.5.1.2.3
by way of explanation,Explain,3.5.1.2.3
in other words,Explain,3.5.1.2.3
let me explain,Explain,3.5.1.2.3
that is,Explain,3.5.1.2.3
to put it another way,Explain,3.5.1.2.3
put it like this,Explain,3.5.1.2.3
put it this way,Explain,3.5.1.2.3
let me rephrase that,Explain,3.5.1.2.3
tell,Explain,3.5.1.2.3
explain,Explain,3.5.1.2.3
demonstrate,Explain,3.5.1.2.3
give instructions,Explain,3.5.1.2.3
simplify,Explain,3.5.1.2.3
demystify,Explain,3.5.1.2.3
set out,Explain,3.5.1.2.3
explanation,Explain,3.5.1.2.3
account,Explain,3.5.1.2.3
instructions,Explain,3.5.1.2.3
directions,Explain,3.5.1.2.3
mention,Mention,3.5.1.2.4
refer to,Mention,3.5.1.2.4
allude to,Mention,3.5.1.2.4
touch on,Mention,3.5.1.2.4
say briefly,Mention,3.5.1.2.4
introduce,Introduce,3.5.1.2.5
lead into,Introduce,3.5.1.2.5
bring up,Introduce,3.5.1.2.5
raise,Introduce,3.5.1.2.5
broach a subject,Introduce,3.5.1.2.5
introduction,Introduce,3.5.1.2.5
lead-in,Introduce,3.5.1.2.5
introductory,Introduce,3.5.1.2.5
repeat,Repeat,3.5.1.2.6
repeat yourself,Repeat,3.5.1.2.6
say again,Repeat,3.5.1.2.6
iterate,Repeat,3.5.1.2.6
recapitulate,Repeat,3.5.1.2.6
reiterate,Repeat,3.5.1.2.6
reaffirm,Repeat,3.5.1.2.6
say it over and over,Repeat,3.5.1.2.6
keep saying,Repeat,3.5.1.2.6
go over,Repeat,3.5.1.2.6
recap,Repeat,3.5.1.2.6
review,Repeat,3.5.1.2.6
repeat,Repeat,3.5.1.2.6
quote,Repeat,3.5.1.2.6
echo,Repeat,3.5.1.2.6
parrot,Repeat,3.5.1.2.6
regurgitate,Repeat,3.5.1.2.6
repetition,Repeat,3.5.1.2.6
recapitulation,Repeat,3.5.1.2.6
summarize,Summarize,3.5.1.2.7
summary,Summarize,3.5.1.2.7
review,Summarize,3.5.1.2.7
recap,Summarize,3.5.1.2.7
summarize,Summarize,3.5.1.2.7
summary,Summarize,3.5.1.2.7
synopsis,Summarize,3.5.1.2.7
overview,Summarize,3.5.1.2.7
emphasize,Emphasize,3.5.1.2.8
stress,Emphasize,3.5.1.2.8
emphasis,Emphasize,3.5.1.2.8
stress,Emphasize,3.5.1.2.8
importance,Emphasize,3.5.1.2.8
important,Emphasize,3.5.1.2.8
stand out,Emphasize,3.5.1.2.8
be conspicuous,Emphasize,3.5.1.2.8
be prominent,Emphasize,3.5.1.2.8
be about something,"Be about, subject",3.5.1.2.9
concern,"Be about, subject",3.5.1.2.9
deal with,"Be about, subject",3.5.1.2.9
be concerned with,"Be about, subject",3.5.1.2.9
center on,"Be about, subject",3.5.1.2.9
focus on,"Be about, subject",3.5.1.2.9
address,"Be about, subject",3.5.1.2.9
cover,"Be about, subject",3.5.1.2.9
depict,"Be about, subject",3.5.1.2.9
discuss,"Be about, subject",3.5.1.2.9
dwell on,"Be about, subject",3.5.1.2.9
present,"Be about, subject",3.5.1.2.9
portray,"Be about, subject",3.5.1.2.9
treat,"Be about, subject",3.5.1.2.9
about,"Be about, subject",3.5.1.2.9
on,"Be about, subject",3.5.1.2.9
concerning,"Be about, subject",3.5.1.2.9
on the subject of,"Be about, subject",3.5.1.2.9
regarding,"Be about, subject",3.5.1.2.9
re,"Be about, subject",3.5.1.2.9
with regard to,"Be about, subject",3.5.1.2.9
in,"Be about, subject",3.5.1.2.9
of,"Be about, subject",3.5.1.2.9
subject,"Be about, subject",3.5.1.2.9
topic,"Be about, subject",3.5.1.2.9
theme,"Be about, subject",3.5.1.2.9
issue,"Be about, subject",3.5.1.2.9
question,"Be about, subject",3.5.1.2.9
matter,"Be about, subject",3.5.1.2.9
business,"Be about, subject",3.5.1.2.9
thing,"Be about, subject",3.5.1.2.9
talk about,Talk about a subject,3.5.1.2
dwell on,Talk about a subject,3.5.1.2
discuss,Talk about a subject,3.5.1.2
address,Talk about a subject,3.5.1.2
treat,Talk about a subject,3.5.1.2
cover,Talk about a subject,3.5.1.2
subject,Talk about a subject,3.5.1.2
topic,Talk about a subject,3.5.1.2
theme,Talk about a subject,3.5.1.2
issue,Talk about a subject,3.5.1.2
question,Talk about a subject,3.5.1.2
matter,Talk about a subject,3.5.1.2
business,Talk about a subject,3.5.1.2
thing,Talk about a subject,3.5.1.2
point,Talk about a subject,3.5.1.2
aspect,Talk about a subject,3.5.1.2
bring up,Talk about a subject,3.5.1.2
raise,Talk about a subject,3.5.1.2
broach,Talk about a subject,3.5.1.2
introduce,Talk about a subject,3.5.1.2
launch into,Talk about a subject,3.5.1.2
change topics,Talk about a subject,3.5.1.2
switch topics,Talk about a subject,3.5.1.2
turn to,Talk about a subject,3.5.1.2
get onto,Talk about a subject,3.5.1.2
get to the point,Talk about a subject,3.5.1.2
stick to the point,Talk about a subject,3.5.1.2
to the point,Talk about a subject,3.5.1.2
get off the subject,Talk about a subject,3.5.1.2
digress,Talk about a subject,3.5.1.2
get sidetracked,Talk about a subject,3.5.1.2
stray from,Talk about a subject,3.5.1.2
ramble,Talk about a subject,3.5.1.2
lose the thread,Talk about a subject,3.5.1.2
where was I?,Talk about a subject,3.5.1.2
say,Say,3.5.1
speak,Say,3.5.1
talk,Say,3.5.1
tell,Say,3.5.1
state,Say,3.5.1
express,Say,3.5.1
declare,Say,3.5.1
proclaim,Say,3.5.1
inform,Say,3.5.1
pronounce,Say,3.5.1
remark on,Say,3.5.1
make a remark,Say,3.5.1
saying,Say,3.5.1
quote,Say,3.5.1
declaration,Say,3.5.1
tale,Say,3.5.1
speech,Say,3.5.1
profession,Say,3.5.1
remark,Say,3.5.1
statement,Say,3.5.1
pronunciation,Say,3.5.1
communicate,Communication,3.5
communication,Communication,3.5
tell the truth,Tell the truth,3.5.1.3.1
speak the truth,Tell the truth,3.5.1.3.1
be honest,Tell the truth,3.5.1.3.1
be open,Tell the truth,3.5.1.3.1
be up front,Tell the truth,3.5.1.3.1
play fair,Tell the truth,3.5.1.3.1
level with,Tell the truth,3.5.1.3.1
lay/put your cards on the table,Tell the truth,3.5.1.3.1
testify,Tell the truth,3.5.1.3.1
witness,Tell the truth,3.5.1.3.1
reveal,Tell the truth,3.5.1.3.1
honest,Tell the truth,3.5.1.3.1
truthful,Tell the truth,3.5.1.3.1
sincere,Tell the truth,3.5.1.3.1
straight,Tell the truth,3.5.1.3.1
open,Tell the truth,3.5.1.3.1
scrupulous,Tell the truth,3.5.1.3.1
upright,Tell the truth,3.5.1.3.1
honest,Tell the truth,3.5.1.3.1
to be honest,Tell the truth,3.5.1.3.1
in all honesty,Tell the truth,3.5.1.3.1
frank,Tell the truth,3.5.1.3.1
candid,Tell the truth,3.5.1.3.1
direct,Tell the truth,3.5.1.3.1
straightforward,Tell the truth,3.5.1.3.1
tell someone straight,Tell the truth,3.5.1.3.1
forthright,Tell the truth,3.5.1.3.1
blunt,Tell the truth,3.5.1.3.1
outspoken,Tell the truth,3.5.1.3.1
bald,Tell the truth,3.5.1.3.1
speak your mind,Tell the truth,3.5.1.3.1
not beat about the bush,Tell the truth,3.5.1.3.1
make no bones about,Tell the truth,3.5.1.3.1
not mince your words,Tell the truth,3.5.1.3.1
call a spade a spade,Tell the truth,3.5.1.3.1
pull no punches,Tell the truth,3.5.1.3.1
honesty,Tell the truth,3.5.1.3.1
integrity,Tell the truth,3.5.1.3.1
truthfulness,Tell the truth,3.5.1.3.1
scruples,Tell the truth,3.5.1.3.1
lie,Tell a lie,3.5.1.3.2
tell a lie,Tell a lie,3.5.1.3.2
pervert truth,Tell a lie,3.5.1.3.2
deceive,Tell a lie,3.5.1.3.2
tell tales,Tell a lie,3.5.1.3.2
perjure,Tell a lie,3.5.1.3.2
make up,Tell a lie,3.5.1.3.2
lie,Tell a lie,3.5.1.3.2
falsehood,Tell a lie,3.5.1.3.2
fib,Tell a lie,3.5.1.3.2
white lie,Tell a lie,3.5.1.3.2
half-truth,Tell a lie,3.5.1.3.2
perjury,Tell a lie,3.5.1.3.2
propaganda,Tell a lie,3.5.1.3.2
liar,Tell a lie,3.5.1.3.2
contradict,Contradict,3.5.1.3.3
speak in opposition to,Contradict,3.5.1.3.3
disagree with,Contradict,3.5.1.3.3
speak against,Contradict,3.5.1.3.3
deny,Contradict,3.5.1.3.3
dispute,Contradict,3.5.1.3.3
argue against,Contradict,3.5.1.3.3
testify,Expose falsehood,3.5.1.3.4
expose falsehood,Expose falsehood,3.5.1.3.4
